id,sku,name_en,name_ar,category,price,stock_quantity,description_en,description_ar,image_url,barcode,expiry_date,is_active
11,MED-00011,"Panadol Extra","بانادول إكسترا",Medicine,45.00,87,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622538761148,2026-11-25,1
12,MED-00012,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,10,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622787724884,2027-05-03,1
13,COS-00013,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,42,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622489395254,2027-11-21,1
14,SUP-00014,"Centrum Men","سنتروم رجال",Supplements,420.00,66,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622175103965,2027-07-02,1
15,MED-00015,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,101,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622867208548,2027-08-19,1
16,MED-00016,"Panadol Extra","بانادول إكسترا",Medicine,45.00,197,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622137878656,2027-02-05,1
17,MED-00017,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,181,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622658715707,2026-06-29,1
18,COS-00018,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,197,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622992573417,2027-05-23,1
19,SUP-00019,"Centrum Men","سنتروم رجال",Supplements,420.00,125,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622542469015,2026-07-01,1
20,MED-00020,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,50,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622869107224,2026-11-21,1
21,MED-00021,"Panadol Extra","بانادول إكسترا",Medicine,45.00,117,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622767217180,2025-12-20,1
22,MED-00022,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,153,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622856877694,2027-03-27,1
23,COS-00023,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,103,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622796446071,2026-03-31,1
24,SUP-00024,"Centrum Men","سنتروم رجال",Supplements,420.00,197,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622557637497,2027-05-19,1
25,MED-00025,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,65,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622276649674,2026-12-27,1
26,MED-00026,"Panadol Extra","بانادول إكسترا",Medicine,45.00,104,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622723516071,2027-02-23,1
27,MED-00027,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,77,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,62240378426,2027-04-12,1
28,COS-00028,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,92,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622388306694,2026-03-27,1
29,SUP-00029,"Centrum Men","سنتروم رجال",Supplements,420.00,176,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622842576396,2026-01-31,1
30,MED-00030,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,174,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622852087988,2026-02-03,1
31,MED-00031,"Panadol Extra","بانادول إكسترا",Medicine,45.00,23,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622506091180,2027-02-27,1
32,MED-00032,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,56,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622559621381,2027-07-19,1
33,COS-00033,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,116,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622430986545,2026-09-23,1
34,SUP-00034,"Centrum Men","سنتروم رجال",Supplements,420.00,172,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622321495520,2026-08-23,1
35,MED-00035,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,69,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,62228984218,2027-02-01,1
36,MED-00036,"Panadol Extra","بانادول إكسترا",Medicine,45.00,33,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,62269350199,2026-11-01,1
37,MED-00037,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,93,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622166284339,2026-08-17,1
38,COS-00038,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,188,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622847244795,2026-01-09,1
39,SUP-00039,"Centrum Men","سنتروم رجال",Supplements,420.00,173,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622378099402,2026-06-23,1
40,MED-00040,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,28,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622861900890,2027-01-10,1
41,MED-00041,"Panadol Extra","بانادول إكسترا",Medicine,45.00,107,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622259273333,2027-11-19,1
42,MED-00042,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,119,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622442914258,2025-12-26,1
43,COS-00043,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,75,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622565768120,2026-10-09,1
44,SUP-00044,"Centrum Men","سنتروم رجال",Supplements,420.00,18,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622966923304,2026-12-24,1
45,MED-00045,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,60,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622738260206,2026-03-25,1
46,MED-00046,"Panadol Extra","بانادول إكسترا",Medicine,45.00,159,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622108421920,2027-08-07,1
47,MED-00047,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,186,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622775986793,2027-09-25,1
48,COS-00048,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,182,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622731292692,2027-01-30,1
49,SUP-00049,"Centrum Men","سنتروم رجال",Supplements,420.00,175,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,62271981241,2027-04-03,1
50,MED-00050,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,51,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622570401965,2026-08-25,1
51,MED-00051,"Panadol Extra","بانادول إكسترا",Medicine,45.00,59,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622922712415,2027-06-12,1
52,MED-00052,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,133,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,62215305690,2026-06-22,1
53,COS-00053,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,70,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622427572547,2027-06-09,1
54,SUP-00054,"Centrum Men","سنتروم رجال",Supplements,420.00,24,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622205187192,2027-08-22,1
55,MED-00055,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,133,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622879000504,2025-11-23,1
56,MED-00056,"Panadol Extra","بانادول إكسترا",Medicine,45.00,70,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622152550040,2025-12-17,1
57,MED-00057,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,142,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622963174377,2026-03-17,1
58,COS-00058,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,2,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622897729254,2027-03-27,1
59,SUP-00059,"Centrum Men","سنتروم رجال",Supplements,420.00,8,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622963944830,2027-07-24,1
60,MED-00060,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,165,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622578849264,2027-03-09,1
61,MED-00061,"Panadol Extra","بانادول إكسترا",Medicine,45.00,172,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622175541321,2027-09-20,1
62,MED-00062,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,10,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622179207061,2025-12-01,1
63,COS-00063,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,125,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622923304833,2027-02-06,1
64,SUP-00064,"Centrum Men","سنتروم رجال",Supplements,420.00,66,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622433039144,2027-03-29,1
65,MED-00065,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,57,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622524361537,2026-09-13,1
66,MED-00066,"Panadol Extra","بانادول إكسترا",Medicine,45.00,98,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,62273759321,2026-03-08,1
67,MED-00067,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,79,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622773489537,2026-12-14,1
68,COS-00068,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,157,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622873239818,2027-09-18,1
69,SUP-00069,"Centrum Men","سنتروم رجال",Supplements,420.00,186,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622232428459,2026-11-02,1
70,MED-00070,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,92,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622144974012,2027-05-06,1
71,MED-00071,"Panadol Extra","بانادول إكسترا",Medicine,45.00,54,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622333806951,2027-01-19,1
72,MED-00072,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,165,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622665015687,2027-01-13,1
73,COS-00073,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,8,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622505661856,2026-05-20,1
74,SUP-00074,"Centrum Men","سنتروم رجال",Supplements,420.00,113,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622443860038,2026-04-27,1
75,MED-00075,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,47,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622244079257,2027-06-04,1
76,MED-00076,"Panadol Extra","بانادول إكسترا",Medicine,45.00,86,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,62214620025,2027-11-03,1
77,MED-00077,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,148,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622529824465,2026-04-24,1
78,COS-00078,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,177,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,62217189242,2026-06-05,1
79,SUP-00079,"Centrum Men","سنتروم رجال",Supplements,420.00,24,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,6228433979,2026-04-16,1
80,MED-00080,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,174,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622602425034,2026-01-16,1
81,MED-00081,"Panadol Extra","بانادول إكسترا",Medicine,45.00,72,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622537535521,2027-05-30,1
82,MED-00082,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,9,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622782600286,2026-05-22,1
83,COS-00083,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,161,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622843141454,2026-06-23,1
84,SUP-00084,"Centrum Men","سنتروم رجال",Supplements,420.00,35,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622768516616,2026-07-19,1
85,MED-00085,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,169,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622350861767,2027-01-10,1
86,MED-00086,"Panadol Extra","بانادول إكسترا",Medicine,45.00,114,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622281189354,2027-04-18,1
87,MED-00087,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,19,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622647693757,2027-03-19,1
88,COS-00088,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,61,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,62261311949,2027-06-06,1
89,SUP-00089,"Centrum Men","سنتروم رجال",Supplements,420.00,97,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622183208893,2026-06-28,1
90,MED-00090,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,102,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622865487584,2027-06-05,1
91,MED-00091,"Panadol Extra","بانادول إكسترا",Medicine,45.00,106,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622892384846,2027-04-16,1
92,MED-00092,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,61,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622414414953,2026-05-01,1
93,COS-00093,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,44,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,6224566073,2027-02-26,1
94,SUP-00094,"Centrum Men","سنتروم رجال",Supplements,420.00,83,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622882978101,2027-02-20,1
95,MED-00095,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,17,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622684402000,2026-10-14,1
96,MED-00096,"Panadol Extra","بانادول إكسترا",Medicine,45.00,140,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622661945630,2026-11-02,1
97,MED-00097,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,63,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622661681474,2027-08-03,1
98,COS-00098,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,119,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622800035423,2027-01-11,1
99,SUP-00099,"Centrum Men","سنتروم رجال",Supplements,420.00,88,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622481676054,2027-10-28,1
100,MED-00100,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,43,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622516191037,2027-02-24,1
101,MED-00101,"Panadol Extra","بانادول إكسترا",Medicine,45.00,102,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622367975531,2026-07-21,1
102,MED-00102,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,32,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622640122755,2027-07-26,1
103,COS-00103,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,135,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,62234074956,2027-08-06,1
104,SUP-00104,"Centrum Men","سنتروم رجال",Supplements,420.00,175,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622498325022,2026-11-02,1
105,MED-00105,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,102,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622226224036,2026-08-22,1
106,MED-00106,"Panadol Extra","بانادول إكسترا",Medicine,45.00,146,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622676623497,2026-01-31,1
107,MED-00107,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,8,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622310735388,2027-10-16,1
108,COS-00108,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,111,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,62289043071,2027-07-18,1
109,SUP-00109,"Centrum Men","سنتروم رجال",Supplements,420.00,1,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622233679284,2027-03-19,1
110,MED-00110,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,180,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622495777629,2026-03-12,1
111,MED-00111,"Panadol Extra","بانادول إكسترا",Medicine,45.00,150,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622469720213,2026-01-14,1
112,MED-00112,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,186,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622288734878,2027-10-16,1
113,COS-00113,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,29,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622635311300,2027-02-01,1
114,SUP-00114,"Centrum Men","سنتروم رجال",Supplements,420.00,147,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622416981853,2027-08-02,1
115,MED-00115,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,35,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622704935581,2027-02-04,1
116,MED-00116,"Panadol Extra","بانادول إكسترا",Medicine,45.00,81,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622218549820,2027-05-29,1
117,MED-00117,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,94,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,62248627938,2027-09-19,1
118,COS-00118,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,160,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622701476048,2027-03-29,1
119,SUP-00119,"Centrum Men","سنتروم رجال",Supplements,420.00,146,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,62298149065,2027-11-07,1
120,MED-00120,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,128,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622519836050,2027-11-12,1
121,MED-00121,"Panadol Extra","بانادول إكسترا",Medicine,45.00,17,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622979053504,2026-04-16,1
122,MED-00122,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,52,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,62252763401,2026-11-05,1
123,COS-00123,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,191,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622317230805,2026-10-13,1
124,SUP-00124,"Centrum Men","سنتروم رجال",Supplements,420.00,97,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,62235744431,2026-05-25,1
125,MED-00125,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,58,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622871472458,2027-10-19,1
126,MED-00126,"Panadol Extra","بانادول إكسترا",Medicine,45.00,11,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622633130353,2026-12-02,1
127,MED-00127,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,192,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622872335751,2026-08-30,1
